picId,clientId,name,unidade,lat,lon,rodada_init_time,data_hora_observacao,temp_media_c,temp_min_c,temp_max_c,precipitacao_6h_media_mm,precipitacao_6h_max_mm,vento_medio_ms,vento_rajada_max_ms,pressao_mar_pa
25665,2314,UAE_440010,UAE,-17.66004,-52.3381,2026-07-01 00:00:00,2026-07-01 06:00:00,17.81,16.44,19.22,0.001,0.004,2.81,3.59,101546.3
11002,2314,UAE_440031,UAE,-17.72785,-52.40737,2026-07-01 00:00:00,2026-07-01 06:00:00,16.73,15.31,18.34,0.001,0.016,1.55,2.65,101526.7
26025,2314,UAE_440037,UAE,-17.51801,-52.28823,2026-07-01 00:00:00,2026-07-01 06:00:00,17.38,15.77,19.28,0.001,0.009,2.08,2.89,101583.1
26041,2314,UAE_440043,UAE,-17.6238,-52.46665,2026-07-01 00:00:00,2026-07-01 06:00:00,17.57,15.75,19.34,0.001,0.02,2.03,2.81,101543.4
26042,2314,UAE_440061,UAE,-17.52854,-52.22775,2026-07-01 00:00:00,2026-07-01 06:00:00,17.38,15.77,19.28,0.001,0.009,2.08,2.89,101583.1
26049,2314,UAE_440178,UAE,-17.37638,-52.50827,2026-07-01 00:00:00,2026-07-01 06:00:00,17.57,15.75,19.34,0.001,0.02,2.03,2.81,101543.4
16272,2314,UAE_440235,UAE,-17.65046,-51.86691,2026-07-01 00:00:00,2026-07-01 06:00:00,16.79,15.4,18.52,0.001,0.01,2.21,3.12,101568.3
25628,2314,UAE_440264,UAE,-17.5812,-52.36706,2026-07-01 00:00:00,2026-07-01 06:00:00,17.38,15.77,19.28,0.001,0.009,2.08,2.89,101583.1
26045,2314,UAE_440286,UAE,-17.74924,-51.94314,2026-07-01 00:00:00,2026-07-01 06:00:00,16.24,14.35,18.06,0.001,0.009,1.48,2.51,101564.0
26056,2314,UAE_440293,UAE,-17.57164,-52.29925,2026-07-01 00:00:00,2026-07-01 06:00:00,17.38,15.77,19.28,0.001,0.009,2.08,2.89,101583.1
25664,2314,UAE_448060,UAE,-17.39922,-52.3558,2026-07-01 00:00:00,2026-07-01 06:00:00,17.38,15.77,19.28,0.001,0.009,2.08,2.89,101583.1
26062,2314,UAE_449145,UAE,-17.44726,-52.96758,2026-07-01 00:00:00,2026-07-01 06:00:00,16.75,15.02,18.67,0.002,0.026,1.77,2.92,101515.6
25249,2314,UAE_449203,UAE,-17.26479,-52.96622,2026-07-01 00:00:00,2026-07-01 06:00:00,18.89,16.59,21.31,0.002,0.01,2.2,3.42,101517.6
26037,2314,UAT_420004,UAT,-17.73622,-53.3182,2026-07-01 00:00:00,2026-07-01 06:00:00,16.93,14.69,18.28,0.001,0.012,2.21,3.01,101538.0
26159,2314,UAT_420006,UAT,-17.6545937,-53.3175924,2026-07-01 00:00:00,2026-07-01 06:00:00,16.93,14.69,18.28,0.001,0.012,2.21,3.01,101538.0
26053,2314,UAT_420026,UAT,-17.66554,-53.27472,2026-07-01 00:00:00,2026-07-01 06:00:00,16.93,14.69,18.28,0.001,0.012,2.21,3.01,101538.0
25195,2314,UAT_420027,UAT,-17.89151,-53.19728,2026-07-01 00:00:00,2026-07-01 06:00:00,17.74,15.12,18.88,0.001,0.005,2.69,3.31,101545.7
26157,2314,UAT_420031,UAT,-17.59259,-53.31711,2026-07-01 00:00:00,2026-07-01 06:00:00,17.74,16.36,19.09,0.001,0.012,2.32,3.22,101523.6
26147,2314,UAT_420033,UAT,-17.50442,-53.3002,2026-07-01 00:00:00,2026-07-01 06:00:00,17.74,16.36,19.09,0.001,0.012,2.32,3.22,101523.6
19879,2314,UAT_420048,UAT,-17.95031,-53.34072,2026-07-01 00:00:00,2026-07-01 06:00:00,17.74,15.12,18.88,0.001,0.005,2.69,3.31,101545.7
26151,2314,UAT_420109,UAT,-17.53904,-53.50165,2026-07-01 00:00:00,2026-07-01 06:00:00,18.44,16.9,19.32,0.001,0.005,2.66,3.37,101454.8
26150,2314,UAT_420120,UAT,-17.6786,-53.41716,2026-07-01 00:00:00,2026-07-01 06:00:00,18.77,15.68,20.25,0.001,0.008,2.78,3.46,101495.5
26166,2314,UAT_420154,UAT,-17.41446,-53.34319,2026-07-01 00:00:00,2026-07-01 06:00:00,17.74,16.36,19.09,0.001,0.012,2.32,3.22,101523.6
25314,2314,UAT_428001,UAT,-17.74048,-53.44137,2026-07-01 00:00:00,2026-07-01 06:00:00,18.77,15.68,20.25,0.001,0.008,2.78,3.46,101495.5
25098,2314,UAT_428003,UAT,-17.78489,-53.38451,2026-07-01 00:00:00,2026-07-01 06:00:00,18.77,15.68,20.25,0.001,0.008,2.78,3.46,101495.5
22774,2314,UAT_428079,UAT,-17.89667,-53.59128,2026-07-01 00:00:00,2026-07-01 06:00:00,20.05,18.99,21.4,0.001,0.004,3.02,3.92,101383.6
26135,2314,UAT_429053,UAT,-17.75157,-53.24856,2026-07-01 00:00:00,2026-07-01 06:00:00,16.93,14.69,18.28,0.001,0.012,2.21,3.01,101538.0
26102,2314,UAT_429059,UAT,-17.97345,-53.17618,2026-07-01 00:00:00,2026-07-01 06:00:00,17.74,15.12,18.88,0.001,0.005,2.69,3.31,101545.7
